STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,CIG,DEW,SLP,TMP,VIS,WND
72353013967,35.3889,-97.6006,391.7,2004-05-11T10:38:00,"00240,1,9,N","+0180,1","99999,9","+0200,1","011265,1,N,1","160,1,N,0062,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T10:52:00,"00244,5,M,N","+0189,5","10114,5","+0200,5","009600,5,N,1","150,5,N,0067,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T11:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-11T11:30:00,"00300,1,9,N","+0190,1","99999,9","+0210,1","011265,1,N,1","150,1,N,0051,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T11:52:00,"00270,1,C,N","+0190,1","10115,1","+0210,1","011265,1,N,1","150,1,N,0072,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T12:00:00,"00305,5,M,N","+0189,5","10115,5","+0206,5","011200,5,N,1","150,5,N,0072,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T12:52:00,"00360,1,9,N","+0190,1","10117,1","+0220,1","011265,1,N,1","150,1,N,0062,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T13:00:00,"00366,5,M,N","+0194,5","10117,5","+0217,5","011200,5,N,1","150,5,N,0062,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T13:05:00,"00510,1,C,N","+0190,1","99999,9","+0220,1","012874,1,N,1","150,1,N,0067,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T13:20:00,"00390,1,9,N","+0190,1","99999,9","+0220,1","012874,1,N,1","160,1,N,0057,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T13:41:00,"00450,1,9,N","+0190,1","99999,9","+0220,1","012874,1,N,1","170,1,N,0082,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T13:52:00,"00457,5,M,N","+0189,5","10123,5","+0222,5","012800,5,N,1","160,5,N,0072,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T14:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-11T14:42:00,"01380,1,9,N","+0190,1","99999,9","+0230,1","014484,1,N,1","160,1,N,0072,1"
